0	Label1	71	46	154	0
1	Label2	33	78	43	0
2	Label3	192	199	10	0
3	Label4	32	79	207	0
4	Label5	195	89	204	0
5	Label6	208	41	164	0
6	Label7	173	208	231	0
7	Label8	233	135	136	0
8	Label9	202	20	58	0
9	Label10	25	154	239	0
10	Label11	210	35	30	0
11	Label12	145	21	147	0
12	Label13	89	43	230	0
13	Label14	87	230	101	0
14	Label15	245	113	111	0
15	Label16	246	191	150	0
16	Label17	38	147	35	0
17	Label18	3	208	128	0
18	Label19	25	37	57	0
19	Label20	57	28	252	0
20	Label21	167	27	79	0
21	Label22	245	86	173	0
22	Label23	86	203	120	0
23	Label24	227	25	25	0
24	Label25	208	209	126	0
25	Label26	81	148	81	0
26	Label27	64	187	85	0
27	Label28	90	139	8	0
28	Label29	199	111	7	0
29	Label30	140	48	122	0
30	Label31	48	102	237	0
31	Label32	212	76	190	0
32	Label33	180	110	152	0
33	Label34	70	106	246	0
34	Label35	120	130	182	0
35	Label36	9	37	130	0
36	Label37	192	160	219	0
37	Label38	245	34	67	0
38	Label39	177	222	76	0
39	Label40	65	90	167	0
40	Label41	157	165	178	0
41	Label42	9	245	235	0
42	Label43	193	222	250	0
43	Label44	100	102	28	0
44	Label45	181	47	61	0
45	Label46	125	19	186	0
46	Label47	145	130	250	0
47	Label48	62	4	199	0
48	Label49	8	232	67	0
49	Label50	108	137	58	0
50	Label51	36	211	50	0
51	Label52	140	240	86	0
52	Label53	237	11	182	0
53	Label54	242	140	108	0
54	Label55	248	21	77	0
55	Label56	161	42	89	0
56	Label57	189	22	112	0
57	Label58	41	241	59	0
58	Label59	114	61	125	0
59	Label60	65	99	226	0
60	Label61	121	115	50	0
61	Label62	97	199	205	0
62	Label63	50	166	227	0
63	Label64	238	114	125	0
64	Label65	149	190	128	0
65	Label66	44	204	104	0
66	Label67	214	60	27	0
67	Label68	124	233	59	0
68	Label69	167	66	66	0
69	Label70	40	115	53	0
70	Label71	167	230	133	0
71	Label72	127	125	159	0
72	Label73	178	103	203	0
73	Label74	231	203	97	0
74	Label75	30	125	125	0
75	Label76	173	13	139	0
76	Label77	244	176	159	0
77	Label78	193	94	158	0
78	Label79	203	131	7	0
79	Label80	204	39	215	0
80	Label81	238	198	47	0
81	Label82	139	167	140	0
82	Label83	135	124	226	0
83	Label84	71	67	223	0
84	Label85	234	175	231	0
85	Label86	234	254	44	0
86	Label87	217	1	110	0
87	Label88	66	15	184	0
88	Label89	14	198	61	0
89	Label90	129	62	233	0
90	Label91	19	237	47	0
91	Label92	97	159	67	0
92	Label93	165	31	148	0
93	Label94	112	218	22	0
94	Label95	244	58	120	0
95	Label96	35	244	173	0
96	Label97	73	47	156	0
97	Label98	192	61	117	0
98	Label99	12	67	181	0
99	Label100	149	94	94	0
